[L]2023-11-14 16:09:29.234|15_46018174142986241| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'tag' database = []"| 
[L]2023-11-14 16:09:29.235|16_46018174143051777| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'config' database = []"| 
[L]2023-11-14 16:09:29.236|17_46018174143117313| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'asset' database = []"| 
[L]2023-11-14 16:09:29.236|18_46018174143182849| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'publicAsset' database = []"| 
[L]2023-11-14 16:09:29.237|19_46018174143248385| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'privateAsset' database = []"| 
[L]2023-11-14 16:09:29.238|20_46018174143313921| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'tenantAsset' database = []"| 
[L]2023-11-14 16:09:29.240|21_46018174159697921| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'instanceScopeID' database = []"| 
[L]2023-11-14 16:09:29.248|22_46018174159763457| DBG |DESKTOP-4PAEICH|pool-1-thread-2|bus.go|96|func1|System|Nil|"call log.info args = [Listening and serving HTTP on listener what's bind with address  localhost:8085]"| 
[L]2023-11-14 16:09:29.251|23_46018174176475137| INF |DESKTOP-4PAEICH|pool-1-thread-2|value.go|596|call|System|Nil|"Listening and serving HTTP on listener what's bind with address localhost:8085"| 
[L]2023-11-14 16:09:47.253|24_46018204375463937| ERR |DESKTOP-4PAEICH|pool-1-thread-3|tagLogic.go|60|validateTagType|System|Nil|"Invalid Config Type"| 
[L]2023-11-14 16:11:56.901|25_46018421892069377| ERR |DESKTOP-4PAEICH|pool-1-thread-4|tagLogic.go|60|validateTagType|System|Nil|"Invalid Config Type"| 
[L]2023-11-14 16:11:56.903|26_46018421892134913| ERR |DESKTOP-4PAEICH|pool-1-thread-4|errors.go|138|gitlab.zixel.cn/go/framework.NewServiceError|System|Nil|"[errors.go:126] 0x1425785 error code = 10016, message = Invalid tag Type"| 
[L]2023-11-14 16:11:56.905|27_46018421892200449| ERR |DESKTOP-4PAEICH|pool-1-thread-4|errors.go|112|Error|System|Nil|"
---Error Message: Invalid tag Type%!(EXTRA <nil>)
---C:/Users/92346/Desktop/zixel/asset-library/framework/errors.go:148 (0x1425b2c)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/common.go:20 (0x17b1d7a)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/TagRouter.go:29 (0x17b0ca6)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/TagRouter.go:49 (0x17b0a73)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x95f4ca)
---C:/Users/92346/Desktop/zixel/asset-library/framework/errors.go:42 (0x142d4c9)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x96b379)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/recovery.go:101 (0x96b367)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x95f4ca)
---C:/Users/92346/Desktop/zixel/asset-library/framework/server.go:187 (0x142d2e5)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x96a2ba)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/gin.go:616 (0x969f4d)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/gin.go:572 (0x969a7c)
---C:/Program Files/Go/src/net/http/server.go:2938 (0x72378d)
---C:/Program Files/Go/src/net/http/server.go:2009 (0x71f673)
---C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0x37bd20)
"| 
[L]2023-11-14 17:23:29.513|28_46025623696586753| DBG |DESKTOP-4PAEICH|pool-1-thread-5|bus.go|96|func1|System|Nil|"call ExitRpcServer args = []"| 
[L]2023-11-14 17:23:29.513|29_46025623696652289| DBG |DESKTOP-4PAEICH|pool-1-thread-6|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-14 17:23:29.513|30_46025623696717825| DBG |DESKTOP-4PAEICH|pool-1-thread-7|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-14 17:23:29.516|31_46025623696783361| DBG |DESKTOP-4PAEICH|pool-1-thread-8|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closed.]"| 
